"Total";"031";"Total"; 31809; 1865; 31809; 31809; 649; 258; 0; S; 1; 1
"Total";"031";"              1"; 16081; 965; 16081; 16081; 649; 158; 0; S; 1; 1
"Total";"031";"              2"; 15728; 900; 15728; 15728; 258; 193; 0; S; 1; 1
"Total";"032";"Total"; 30373; 1817; 30373; 30373; 689; 211; 0; S; 1; 1
"Total";"032";"              1"; 15365; 957; 15365; 15365; 172; 140; 0; S; 1; 1
"Total";"032";"              2"; 15008; 860; 15008; 15008; 689; 211; 0; S; 1; 1
"Total";"033";"Total"; 30894; 1806; 30894; 30894; 245; 223; 0; S; 1; 1
"Total";"033";"              1"; 16407; 926; 16407; 16407; 245; 223; 0; S; 1; 1
"Total";"033";"              2"; 14487; 880; 14487; 14487; 180; 163; 0; S; 1; 1
"Total";"034";"Total"; 28676; 1784; 28676; 28676; 272; 264; 0; S; 1; 1
"Total";"034";"              1"; 14198; 877; 14198; 14198; 272; 202; 0; S; 1; 1
"Total";"034";"              2"; 14478; 907; 14478; 14478; 264; 166; 0; S; 1; 1
"Total";"035";"Total"; 31295; 1863; 31295; 31295; 384; 319; 0; S; 1; 1
"Total";"035";"              1"; 16710; 941; 16710; 16710; 384; 276; 0; S; 1; 1
"Total";"035";"              2"; 14585; 922; 14585; 14585; 319; 154; 0; S; 1; 1
"Total";"036";"Total"; 29287; 1806; 29287; 29287; 201; 190; 0; S; 1; 1
"Total";"036";"              1"; 14247; 902; 14247; 14247; 190; 148; 0; S; 1; 1
"Total";"036";"              2"; 15040; 904; 15040; 15040; 201; 171; 0; S; 1; 1
"Total";"037";"Total"; 28192; 1722; 28192; 28192; 254; 248; 0; S; 1; 1
"Total";"037";"              1"; 14345; 891; 14345; 14345; 254; 216; 0; S; 1; 1
"Total";"037";"              2"; 13847; 831; 13847; 13847; 248; 213; 0; S; 1; 1
"Total";"038";"Total"; 29347; 1808; 29347; 29347; 258; 228; 0; S; 1; 1
"Total";"038";"              1"; 14779; 920; 14779; 14779; 228; 202; 0; S; 1; 1
"Total";"038";"              2"; 14568; 888; 14568; 14568; 258; 190; 0; S; 1; 1
"Total";"039";"Total"; 29658; 1826; 29658; 29658; 302; 210; 0; S; 1; 1
"Total";"039";"              1"; 14087; 899; 14087; 14087; 180; 150; 0; S; 1; 1
"Total";"039";"              2"; 15571; 927; 15571; 15571; 302; 210; 0; S; 1; 1
"Total";"40-49";"Total"; 279015; 16816; 279015; 279015; 477; 391; 0; S; 1; 1
"Total";"40-49";"              1"; 148552; 8821; 148552; 148552; 477; 391; 0; S; 1; 1
"Total";"40-49";"              2"; 130463; 7995; 130463; 130463; 237; 237; 0; S; 1; 1
"Total";"040";"Total"; 29606; 1763; 29606; 29606; 337; 260; 0; S; 1; 1
"Total";"040";"              1"; 15244; 905; 15244; 15244; 337; 260; 0; S; 1; 1
"Total";"040";"              2"; 14362; 858; 14362; 14362; 215; 191; 0; S; 1; 1
"Total";"041";"Total"; 27676; 1712; 27676; 27676; 227; 173; 0; S; 1; 1
"Total";"041";"              1"; 14651; 890; 14651; 14651; 227; 142; 0; S; 1; 1
"Total";"041";"              2"; 13025; 822; 13025; 13025; 173; 143; 0; S; 1; 1
"Total";"042";"Total"; 29968; 1767; 29968; 29968; 224; 199; 0; S; 1; 1
"Total";"042";"              1"; 16803; 941; 16803; 16803; 224; 199; 0; S; 1; 1
"Total";"042";"              2"; 13165; 826; 13165; 13165; 151; 145; 0; S; 1; 1
"Total";"043";"Total"; 26706; 1604; 26706; 26706; 477; 391; 0; S; 1; 1
"Total";"043";"              1"; 14320; 817; 14320; 14320; 477; 391; 0; S; 1; 1
"Total";"043";"              2"; 12386; 787; 12386; 12386; 229; 206; 0; S; 1; 1
"Total";"044";"Total"; 28722; 1681; 28722; 28722; 221; 211; 0; S; 1; 1
"Total";"044";"              1"; 14684; 871; 14684; 14684; 169; 166; 0; S; 1; 1
"Total";"044";"              2"; 14038; 810; 14038; 14038; 221; 211; 0; S; 1; 1
"Total";"045";"Total"; 27497; 1727; 27497; 27497; 381; 237; 0; S; 1; 1
"Total";"045";"              1"; 14769; 921; 14769; 14769; 381; 156; 0; S; 1; 1
"Total";"045";"              2"; 12728; 806; 12728; 12728; 237; 139; 0; S; 1; 1
"Total";"046";"Total"; 28154; 1640; 28154; 28154; 189; 179; 0; S; 1; 1
"Total";"046";"              1"; 15192; 837; 15192; 15192; 179; 177; 0; S; 1; 1
"Total";"046";"              2"; 12962; 803; 12962; 12962; 189; 149; 0; S; 1; 1
"Total";"047";"Total"; 27002; 1673; 27002; 27002; 205; 175; 0; S; 1; 1
"Total";"047";"              1"; 14827; 919; 14827; 14827; 175; 132; 0; S; 1; 1
"Total";"047";"              2"; 12175; 754; 12175; 12175; 205; 153; 0; S; 1; 1
"Total";"048";"Total"; 26219; 1607; 26219; 26219; 175; 170; 0; S; 1; 1
"Total";"048";"              1"; 13633; 849; 13633; 13633; 175; 162; 0; S; 1; 1
"Total";"048";"              2"; 12586; 758; 12586; 12586; 170; 159; 0; S; 1; 1
"Total";"049";"Total"; 27465; 1642; 27465; 27465; 281; 237; 0; S; 1; 1
"Total";"049";"              1"; 14429; 871; 14429; 14429; 281; 146; 0; S; 1; 1
"Total";"049";"              2"; 13036; 771; 13036; 13036; 237; 201; 0; S; 1; 1
"Total";"50-59";"Total"; 267943; 16054; 267943; 267943; 529; 526; 0; S; 1; 1
"Total";"50-59";"              1"; 137347; 8001; 137347; 137347; 529; 526; 0; S; 1; 1
"Total";"50-59";"              2"; 130596; 8053; 130596; 130596; 379; 375; 0; S; 1; 1
"Total";"050";"Total"; 27984; 1641; 27984; 27984; 401; 232; 0; S; 1; 1
"Total";"050";"              1"; 14309; 825; 14309; 14309; 401; 232; 0; S; 1; 1
"Total";"050";"              2"; 13675; 816; 13675; 13675; 224; 196; 0; S; 1; 1
"Total";"051";"Total"; 28238; 1649; 28238; 28238; 380; 334; 0; S; 1; 1
"Total";"051";"              1"; 14587; 826; 14587; 14587; 380; 334; 0; S; 1; 1
"Total";"051";"              2"; 13651; 823; 13651; 13651; 314; 217; 0; S; 1; 1
"Total";"052";"Total"; 26785; 1602; 26785; 26785; 298; 281; 0; S; 1; 1
"Total";"052";"              1"; 13507; 807; 13507; 13507; 298; 173; 0; S; 1; 1
"Total";"052";"              2"; 13278; 795; 13278; 13278; 281; 141; 0; S; 1; 1
"Total";"053";"Total"; 26600; 1563; 26600; 26600; 529; 319; 0; S; 1; 1
"Total";"053";"              1"; 14172; 793; 14172; 14172; 529; 319; 0; S; 1; 1
"Total";"053";"              2"; 12428; 770; 12428; 12428; 284; 259; 0; S; 1; 1
"Total";"054";"Total"; 27666; 1679; 27666; 27666; 264; 222; 0; S; 1; 1
"Total";"054";"              1"; 14468; 831; 14468; 14468; 264; 222; 0; S; 1; 1
"Total";"054";"              2"; 13198; 848; 13198; 13198; 142; 140; 0; S; 1; 1
"Total";"055";"Total"; 26832; 1635; 26832; 26832; 526; 228; 0; S; 1; 1
"Total";"055";"              1"; 13325; 790; 13325; 13325; 526; 228; 0; S; 1; 1
"Total";"055";"              2"; 13507; 845; 13507; 13507; 133; 104; 0; S; 1; 1
"Total";"056";"Total"; 26556; 1649; 26556; 26556; 233; 228; 0; S; 1; 1
"Total";"056";"              1"; 13260; 794; 13260; 13260; 228; 188; 0; S; 1; 1
"Total";"056";"              2"; 13296; 855; 13296; 13296; 233; 147; 0; S; 1; 1
"Total";"057";"Total"; 25941; 1566; 25941; 25941; 386; 375; 0; S; 1; 1
"Total";"057";"              1"; 13346; 764; 13346; 13346; 386; 212; 0; S; 1; 1
"Total";"057";"              2"; 12595; 802; 12595; 12595; 375; 337; 0; S; 1; 1
"Total";"058";"Total"; 25426; 1505; 25426; 25426; 379; 254; 0; S; 1; 1
"Total";"058";"              1"; 12409; 729; 12409; 12409; 215; 192; 0; S; 1; 1
"Total";"058";"              2"; 13017; 776; 13017; 13017; 379; 254; 0; S; 1; 1
"Total";"059";"Total"; 25915; 1565; 25915; 25915; 292; 219; 0; S; 1; 1
"Total";"059";"              1"; 13964; 842; 13964; 13964; 292; 211; 0; S; 1; 1
"Total";"059";"              2"; 11951; 723; 11951; 11951; 219; 136; 0; S; 1; 1
"Total";"60-69";"Total"; 226531; 13678; 226531; 226531; 542; 322; 0; S; 1; 1
"Total";"60-69";"              1"; 132967; 8064; 132967; 132967; 322; 319; 0; S; 1; 1
"Total";"60-69";"              2"; 93564; 5614; 93564; 93564; 542; 310; 0; S; 1; 1
"Total";"060";"Total"; 25358; 1556; 25358; 25358; 257; 244; 0; S; 1; 1
"Total";"060";"              1"; 13308; 811; 13308; 13308; 257; 244; 0; S; 1; 1
"Total";"060";"              2"; 12050; 745; 12050; 12050; 178; 144; 0; S; 1; 1
"Total";"061";"Total"; 25225; 1504; 25225; 25225; 256; 199; 0; S; 1; 1
"Total";"061";"              1"; 13643; 811; 13643; 13643; 170; 170; 0; S; 1; 1
"Total";"061";"              2"; 11582; 693; 11582; 11582; 256; 199; 0; S; 1; 1
"Total";"062";"Total"; 25768; 1457; 25768; 25768; 542; 217; 0; S; 1; 1
"Total";"062";"              1"; 13956; 815; 13956; 13956; 217; 185; 0; S; 1; 1
"Total";"062";"              2"; 11812; 642; 11812; 11812; 542; 156; 0; S; 1; 1
"Total";"063";"Total"; 22932; 1392; 22932; 22932; 180; 169; 0; S; 1; 1
"Total";"063";"              1"; 12665; 784; 12665; 12665; 156; 150; 0; S; 1; 1
"Total";"063";"              2"; 10267; 608; 10267; 10267; 180; 169; 0; S; 1; 1
"Total";"064";"Total"; 23463; 1416; 23463; 23463; 322; 300; 0; S; 1; 1
"Total";"064";"              1"; 13920; 838; 13920; 13920; 322; 300; 0; S; 1; 1
"Total";"064";"              2"; 9543; 578; 9543; 9543; 130; 125; 0; S; 1; 1
"Total";"065";"Total"; 22172; 1340; 22172; 22172; 225; 190; 0; S; 1; 1
"Total";"065";"              1"; 12822; 805; 12822; 12822; 225; 189; 0; S; 1; 1
"Total";"065";"              2"; 9350; 535; 9350; 9350; 190; 122; 0; S; 1; 1
"Total";"066";"Total"; 20452; 1302; 20452; 20452; 170; 139; 0; S; 1; 1
"Total";"066";"              1"; 13117; 835; 13117; 13117; 170; 126; 0; S; 1; 1
"Total";"066";"              2"; 7335; 467; 7335; 7335; 139; 112; 0; S; 1; 1
"Total";"067";"Total"; 20766; 1264; 20766; 20766; 251; 194; 0; S; 1; 1
"Total";"067";"              1"; 12844; 790; 12844; 12844; 251; 194; 0; S; 1; 1
"Total";"067";"              2"; 7922; 474; 7922; 7922; 134; 108; 0; S; 1; 1
"Total";"068";"Total"; 20047; 1240; 20047; 20047; 297; 192; 0; S; 1; 1
"Total";"068";"              1"; 13033; 794; 13033; 13033; 297; 132; 0; S; 1; 1
"Total";"068";"              2"; 7014; 446; 7014; 7014; 192; 147; 0; S; 1; 1
"Total";"069";"Total"; 20348; 1207; 20348; 20348; 319; 310; 0; S; 1; 1
"Total";"069";"              1"; 13659; 781; 13659; 13659; 319; 286; 0; S; 1; 1
"Total";"069";"              2"; 6689; 426; 6689; 6689; 310; 110; 0; S; 1; 1
"Total";"70-79";"Total"; 151511; 9233; 151511; 151511; 381; 294; 0; S; 1; 1
"Total";"70-79";"              1"; 92420; 5624; 92420; 92420; 381; 294; 0; S; 1; 1
"Total";"70-79";"              2"; 59091; 3609; 59091; 59091; 273; 235; 0; S; 1; 1
"Total";"070";"Total"; 18150; 1154; 18150; 18150; 294; 180; 0; S; 1; 1
"Total";"070";"              1"; 11365; 728; 11365; 11365; 294; 180; 0; S; 1; 1
"Total";"070";"              2"; 6785; 426; 6785; 6785; 141; 120; 0; S; 1; 1
"Total";"071";"Total"; 18782; 1144; 18782; 18782; 251; 152; 0; S; 1; 1
"Total";"071";"              1"; 11992; 733; 11992; 11992; 251; 152; 0; S; 1; 1
"Total";"071";"              2"; 6790; 411; 6790; 6790; 105; 97; 0; S; 1; 1
"Total";"072";"Total"; 18613; 1059; 18613; 18613; 381; 273; 0; S; 1; 1
"Total";"072";"              1"; 11506; 663; 11506; 11506; 381; 217; 0; S; 1; 1
"Total";"072";"              2"; 7107; 396; 7107; 7107; 273; 152; 0; S; 1; 1
"Total";"073";"Total"; 15282; 978; 15282; 15282; 172; 152; 0; S; 1; 1
"Total";"073";"              1"; 9213; 591; 9213; 9213; 126; 105; 0; S; 1; 1
"Total";"073";"              2"; 6069; 387; 6069; 6069; 172; 152; 0; S; 1; 1
"Total";"074";"Total"; 14199; 930; 14199; 14199; 215; 160; 0; S; 1; 1
"Total";"074";"              1"; 9275; 579; 9275; 9275; 215; 160; 0; S; 1; 1
"Total";"074";"              2"; 4924; 351; 4924; 4924; 118; 99; 0; S; 1; 1
"Total";"075";"Total"; 14082; 822; 14082; 14082; 204; 196; 0; S; 1; 1
"Total";"075";"              1"; 8697; 487; 8697; 8697; 204; 196; 0; S; 1; 1
"Total";"075";"              2"; 5385; 335; 5385; 5385; 107; 98; 0; S; 1; 1
"Total";"076";"Total"; 14631; 878; 14631; 14631; 259; 245; 0; S; 1; 1
"Total";"076";"              1"; 8335; 516; 8335; 8335; 259; 245; 0; S; 1; 1
"Total";"076";"              2"; 6296; 362; 6296; 6296; 235; 119; 0; S; 1; 1
"Total";"077";"Total"; 12730; 777; 12730; 12730; 208; 158; 0; S; 1; 1
"Total";"077";"              1"; 7283; 441; 7283; 7283; 208; 135; 0; S; 1; 1
"Total";"077";"              2"; 5447; 336; 5447; 5447; 158; 123; 0; S; 1; 1
"Total";"078";"Total"; 12452; 775; 12452; 12452; 204; 146; 0; S; 1; 1
"Total";"078";"              1"; 7007; 450; 7007; 7007; 146; 103; 0; S; 1; 1
"Total";"078";"              2"; 5445; 325; 5445; 5445; 204; 132; 0; S; 1; 1
"Total";"079";"Total"; 12590; 716; 12590; 12590; 204; 162; 0; S; 1; 1
"Total";"079";"              1"; 7747; 436; 7747; 7747; 204; 124; 0; S; 1; 1
"Total";"079";"              2"; 4843; 280; 4843; 4843; 162; 123; 0; S; 1; 1
"Total";"80-89";"Total"; 87169; 5301; 87169; 87169; 446; 393; 0; S; 1; 1
"Total";"80-89";"              1"; 59281; 3592; 59281; 59281; 393; 355; 0; S; 1; 1
"Total";"80-89";"              2"; 27888; 1709; 27888; 27888; 446; 337; 0; S; 1; 1
"Total";"080";"Total"; 11555; 679; 11555; 11555; 337; 300; 0; S; 1; 1
"Total";"080";"              1"; 7085; 414; 7085; 7085; 300; 214; 0; S; 1; 1
"Total";"080";"              2"; 4470; 265; 4470; 4470; 337; 110; 0; S; 1; 1
"Total";"081";"Total"; 10588; 652; 10588; 10588; 197; 159; 0; S; 1; 1
"Total";"081";"              1"; 6936; 415; 6936; 6936; 197; 159; 0; S; 1; 1
"Total";"081";"              2"; 3652; 237; 3652; 3652; 115; 99; 0; S; 1; 1
"Total";"082";"Total"; 10169; 617; 10169; 10169; 177; 155; 0; S; 1; 1
"Total";"082";"              1"; 6332; 392; 6332; 6332; 120; 110; 0; S; 1; 1
"Total";"082";"              2"; 3837; 225; 3837; 3837; 177; 155; 0; S; 1; 1
"Total";"083";"Total"; 8488; 580; 8488; 8488; 162; 147; 0; S; 1; 1
"Total";"083";"              1"; 5272; 366; 5272; 5272; 147; 98; 0; S; 1; 1
"Total";"083";"              2"; 3216; 214; 3216; 3216; 162; 111; 0; S; 1; 1
"Total";"084";"Total"; 10422; 564; 10422; 10422; 355; 310; 0; S; 1; 1
"Total";"084";"              1"; 6592; 341; 6592; 6592; 355; 310; 0; S; 1; 1
"Total";"084";"              2"; 3830; 223; 3830; 3830; 257; 129; 0; S; 1; 1
"Total";"085";"Total"; 8110; 509; 8110; 8110; 227; 99; 0; S; 1; 1
"Total";"085";"              1"; 5334; 337; 5334; 5334; 227; 99; 0; S; 1; 1
"Total";"085";"              2"; 2776; 172; 2776; 2776; 93; 84; 0; S; 1; 1
"Total";"086";"Total"; 7619; 483; 7619; 7619; 446; 166; 0; S; 1; 1
"Total";"086";"              1"; 5205; 350; 5205; 5205; 140; 107; 0; S; 1; 1
"Total";"086";"              2"; 2414; 133; 2414; 2414; 446; 166; 0; S; 1; 1
"Total";"087";"Total"; 7774; 472; 7774; 7774; 173; 158; 0; S; 1; 1
"Total";"087";"              1"; 5979; 351; 5979; 5979; 173; 158; 0; S; 1; 1
"Total";"087";"              2"; 1795; 121; 1795; 1795; 113; 107; 0; S; 1; 1
"Total";"088";"Total"; 5787; 367; 5787; 5787; 393; 92; 0; S; 1; 1
"Total";"088";"              1"; 4848; 305; 4848; 4848; 393; 92; 0; S; 1; 1
"Total";"088";"              2"; 939; 62; 939; 939; 74; 58; 0; S; 1; 1
"Total";"089";"Total"; 6657; 378; 6657; 6657; 355; 99; 0; S; 1; 1
"Total";"089";"              1"; 5698; 321; 5698; 5698; 355; 99; 0; S; 1; 1
"Total";"089";"              2"; 959; 57; 959; 959; 86; 70; 0; S; 1; 1
"Total";"90-99";"Total"; 29250; 1823; 29250; 29250; 397; 204; 0; M; 1; 1
"Total";"90-99";"              1"; 26593; 1665; 26593; 26593; 397; 204; 0; M; 1; 1
"Total";"90-99";"              2"; 2657; 158; 2657; 2657; 80; 69; 0; M; 1; 1
"Total";"090";"Total"; 4959; 322; 4959; 4959; 103; 100; 0; S; 1; 1
"Total";"090";"              1"; 4270; 287; 4270; 4270; 103; 100; 0; S; 1; 1
"Total";"090";"              2"; 689; 35; 689; 689; 69; 68; 0; S; 1; 1
"Total";"091";"Total"; 4616; 319; 4616; 4616; 128; 119; 0; M; 1; 1
"Total";"091";"              1"; 3797; 268; 3797; 3797; 128; 119; 0; M; 1; 1
"Total";"091";"              2"; 819; 51; 819; 819; 80; 69; 0; M; 1; 1
"Total";"092";"Total"; 3519; 259; 3519; 3519; 101; 67; 0; S; 1; 1
"Total";"092";"              1"; 3148; 238; 3148; 3148; 101; 64; 0; S; 1; 1
"Total";"092";"              2"; 371; 21; 371; 371; 67; 38; 0; S; 1; 1
"Total";"093";"Total"; 4046; 214; 4046; 4046; 397; 118; 0; M; 1; 1
"Total";"093";"              1"; 3838; 203; 3838; 3838; 397; 118; 0; M; 1; 1
